Class Name,API Name,Number of Input Parameters_x,Number of Input Parameters_y,_merge
LockSettingsService$Lifecycle,userPresent,2,2,both
LockSettingsService$Lifecycle,verifyTiedProfileChallenge,5,5,both
LauncherAppsService,addOnAppsChangedListener,3,3,both
LauncherAppsService,getShortcutIconFd,5,5,both
LauncherAppsService,getShortcutIconResId,5,5,both
LauncherAppsService,hasShortcutHostPermission,2,2,both
LauncherAppsService,removeOnAppsChangedListener,2,2,both
LauncherAppsService,startShortcut,7,7,both
TrustManagerService,clearAllFingerprints,1,1,both
TrustManagerService,isDeviceLocked,2,2,both
TrustManagerService,isDeviceSecure,2,2,both
TrustManagerService,isTrustUsuallyManaged,2,2,both
TrustManagerService,registerTrustListener,2,2,both
TrustManagerService,reportEnabledTrustAgentsChanged,2,2,both
TrustManagerService,reportKeyguardShowingChanged,1,1,both
TrustManagerService,reportUnlockAttempt,3,3,both
TrustManagerService,reportUnlockLockout,3,3,both
TrustManagerService,setDeviceLockedForUser,3,3,both
TrustManagerService,unlockedByFingerprintForUser,2,2,both
TrustManagerService,unregisterTrustListener,2,2,both
DisplayManagerService,connectWifiDisplay,2,2,both
DisplayManagerService,createVirtualDisplay,11,11,both
DisplayManagerService,disconnectWifiDisplay,1,1,both
DisplayManagerService,forgetWifiDisplay,2,2,both
DisplayManagerService,getAmbientBrightnessStats,1,1,both
DisplayManagerService,getBrightnessConfigurationForUser,2,2,both
DisplayManagerService,getBrightnessEvents,2,2,both
DisplayManagerService,getDefaultBrightnessConfiguration,1,1,both
DisplayManagerService,getDisplayIds,1,1,both
DisplayManagerService,getDisplayInfo,2,2,both
DisplayManagerService,getMinimumBrightnessCurve,1,1,both
DisplayManagerService,getStableDisplaySize,1,1,both
DisplayManagerService,getWifiDisplayStatus,1,1,both
DisplayManagerService,pauseWifiDisplay,1,1,both
DisplayManagerService,registerCallback,2,2,both
DisplayManagerService,releaseVirtualDisplay,2,2,both
DisplayManagerService,renameWifiDisplay,3,3,both
DisplayManagerService,requestColorMode,3,3,both
DisplayManagerService,resizeVirtualDisplay,5,5,both
DisplayManagerService,resumeWifiDisplay,1,1,both
DisplayManagerService,setBrightnessConfigurationForUser,4,4,both
DisplayManagerService,setSaturationLevel,2,2,both
DisplayManagerService,setTemporaryAutoBrightnessAdjustment,2,2,both
DisplayManagerService,setTemporaryBrightness,2,2,both
DisplayManagerService,setVirtualDisplaySurface,3,3,both
DisplayManagerService,startWifiDisplayScan,1,1,both
DisplayManagerService,stopWifiDisplayScan,1,1,both
CrossProfileAppsService,getTargetUserProfiles,2,2,both
BroadcastRadioService,addAnnouncementListener,3,3,both
BroadcastRadioService,listModules,1,1,both
BroadcastRadioService,openTuner,5,5,both
MediaProjectionManagerService,addCallback,2,2,both
MediaProjectionManagerService,createProjection,5,5,both
MediaProjectionManagerService,getActiveProjectionInfo,1,1,both
MediaProjectionManagerService,hasProjectionPermission,3,3,both
MediaProjectionManagerService,isValidMediaProjection,2,2,both
MediaProjectionManagerService,removeCallback,2,2,both
MediaProjectionManagerService,stopActiveProjection,1,1,both
JobSchedulerService,cancel,2,2,both
JobSchedulerService,cancelAll,1,1,both
JobSchedulerService,enqueue,3,3,both
JobSchedulerService,getAllPendingJobs,1,1,both
JobSchedulerService,getPendingJob,2,2,both
JobSchedulerService,schedule,2,2,both
JobSchedulerService,scheduleAsPackage,5,5,both
MediaResourceMonitorService,notifyResourceGranted,3,3,both
ClipboardService,addPrimaryClipChangedListener,3,3,both
ClipboardService,clearPrimaryClip,2,2,both
ClipboardService,getPrimaryClip,2,2,both
ClipboardService,getPrimaryClipDescription,2,2,both
ClipboardService,hasClipboardText,2,2,both
ClipboardService,hasPrimaryClip,2,2,both
ClipboardService,removePrimaryClipChangedListener,2,2,both
ClipboardService,setPrimaryClip,3,3,both
AccountManagerService$Lifecycle,getAccounts,2,2,both
AccountManagerService$Lifecycle,getAccounts,2,3,both
AccountManagerService$Lifecycle,getAccounts,2,3,both
AccountManagerService$Lifecycle,getAccounts,3,2,both
AccountManagerService$Lifecycle,getAccounts,3,3,both
AccountManagerService$Lifecycle,getAccounts,3,3,both
AccountManagerService$Lifecycle,getAccounts,3,2,both
AccountManagerService$Lifecycle,getAccounts,3,3,both
AccountManagerService$Lifecycle,getAccounts,3,3,both
AccountManagerService$Lifecycle,getAccountsAndVisibilityForPackage,5,5,both
AccountManagerService$Lifecycle,getAccountsAndVisibilityForPackage,5,3,both
AccountManagerService$Lifecycle,getAccountsAndVisibilityForPackage,3,5,both
AccountManagerService$Lifecycle,getAccountsAndVisibilityForPackage,3,3,both
AccountManagerService$Lifecycle,hasAccountAccess,4,4,both
AccountManagerService$Lifecycle,hasAccountAccess,4,4,both
AccountManagerService$Lifecycle,hasAccountAccess,4,4,both
AccountManagerService$Lifecycle,hasAccountAccess,4,4,both
AccountManagerService$Lifecycle,registerAccountListener,4,4,both
AccountManagerService$Lifecycle,registerAccountListener,4,3,both
AccountManagerService$Lifecycle,registerAccountListener,3,4,both
AccountManagerService$Lifecycle,registerAccountListener,3,3,both
AccountManagerService$Lifecycle,removeSharedAccountAsUser,4,4,both
AccountManagerService$Lifecycle,removeSharedAccountAsUser,4,3,both
AccountManagerService$Lifecycle,removeSharedAccountAsUser,3,4,both
AccountManagerService$Lifecycle,removeSharedAccountAsUser,3,3,both
AccountManagerService$Lifecycle,setAccountVisibility,6,6,both
AccountManagerService$Lifecycle,setAccountVisibility,6,4,both
AccountManagerService$Lifecycle,setAccountVisibility,4,6,both
AccountManagerService$Lifecycle,setAccountVisibility,4,4,both
AccountManagerService$Lifecycle,unregisterAccountListener,4,4,both
AccountManagerService$Lifecycle,unregisterAccountListener,4,3,both
AccountManagerService$Lifecycle,unregisterAccountListener,3,4,both
AccountManagerService$Lifecycle,unregisterAccountListener,3,3,both
AccountManagerService$Lifecycle,accountAuthenticated,2,2,both
AccountManagerService$Lifecycle,addAccount,7,7,both
AccountManagerService$Lifecycle,addAccountAsUser,8,8,both
AccountManagerService$Lifecycle,addAccountExplicitly,4,4,both
AccountManagerService$Lifecycle,addAccountExplicitlyWithVisibility,5,5,both
AccountManagerService$Lifecycle,addSharedAccountsFromParentUser,4,4,both
AccountManagerService$Lifecycle,clearPassword,2,2,both
AccountManagerService$Lifecycle,confirmCredentialsAsUser,6,6,both
AccountManagerService$Lifecycle,copyAccountToUser,5,5,both
AccountManagerService$Lifecycle,editProperties,4,4,both
AccountManagerService$Lifecycle,finishSessionAsUser,6,6,both
AccountManagerService$Lifecycle,getAccountByTypeAndFeatures,5,5,both
AccountManagerService$Lifecycle,getAccountVisibility,3,3,both
AccountManagerService$Lifecycle,getAccountsAsUser,4,4,both
AccountManagerService$Lifecycle,getAccountsByFeatures,5,5,both
AccountManagerService$Lifecycle,getAccountsByTypeForPackage,4,4,both
AccountManagerService$Lifecycle,getAccountsForPackage,4,4,both
AccountManagerService$Lifecycle,getAuthToken,7,7,both
AccountManagerService$Lifecycle,getAuthTokenLabel,4,4,both
AccountManagerService$Lifecycle,getAuthenticatorTypes,2,2,both
AccountManagerService$Lifecycle,getPackagesAndVisibilityForAccount,2,2,both
AccountManagerService$Lifecycle,getPassword,2,2,both
AccountManagerService$Lifecycle,getPreviousName,2,2,both
AccountManagerService$Lifecycle,getSharedAccountsAsUser,2,2,both
AccountManagerService$Lifecycle,getUserData,3,3,both
AccountManagerService$Lifecycle,hasFeatures,5,5,both
AccountManagerService$Lifecycle,invalidateAuthToken,3,3,both
AccountManagerService$Lifecycle,isCredentialsUpdateSuggested,4,4,both
AccountManagerService$Lifecycle,onAccountAccessed,2,2,both
AccountManagerService$Lifecycle,peekAuthToken,3,3,both
AccountManagerService$Lifecycle,removeAccount,4,4,both
AccountManagerService$Lifecycle,removeAccountAsUser,5,5,both
AccountManagerService$Lifecycle,removeAccountExplicitly,2,2,both
AccountManagerService$Lifecycle,renameAccount,4,4,both
AccountManagerService$Lifecycle,renameSharedAccountAsUser,4,4,both
AccountManagerService$Lifecycle,setAuthToken,4,4,both
AccountManagerService$Lifecycle,setPassword,3,3,both
AccountManagerService$Lifecycle,setUserData,4,4,both
AccountManagerService$Lifecycle,someUserHasAccount,2,2,both
AccountManagerService$Lifecycle,startAddAccountSession,7,7,both
AccountManagerService$Lifecycle,startUpdateCredentialsSession,6,6,both
AccountManagerService$Lifecycle,updateAppPermission,5,5,both
AccountManagerService$Lifecycle,updateCredentials,6,6,both
HdmiControlService,addDeviceEventListener,2,2,both
HdmiControlService,addHdmiMhlVendorCommandListener,2,2,both
HdmiControlService,addHotplugEventListener,2,2,both
HdmiControlService,addSystemAudioModeChangeListener,2,2,both
HdmiControlService,addVendorCommandListener,3,3,both
HdmiControlService,canChangeSystemAudioMode,1,1,both
HdmiControlService,clearTimerRecording,4,4,both
HdmiControlService,deviceSelect,3,3,both
HdmiControlService,getActiveSource,1,1,both
HdmiControlService,getDeviceList,1,1,both
HdmiControlService,getInputDevices,1,1,both
HdmiControlService,getPortInfo,1,1,both
HdmiControlService,getSupportedTypes,1,1,both
HdmiControlService,getSystemAudioMode,1,1,both
HdmiControlService,oneTouchPlay,2,2,both
HdmiControlService,portSelect,3,3,both
HdmiControlService,queryDisplayStatus,2,2,both
HdmiControlService,removeHotplugEventListener,2,2,both
HdmiControlService,removeSystemAudioModeChangeListener,2,2,both
HdmiControlService,sendKeyEvent,4,4,both
HdmiControlService,sendMhlVendorCommand,5,5,both
HdmiControlService,sendStandby,3,3,both
HdmiControlService,sendVendorCommand,5,5,both
HdmiControlService,setArcMode,2,2,both
HdmiControlService,setHdmiRecordListener,2,2,both
HdmiControlService,setInputChangeListener,2,2,both
HdmiControlService,setProhibitMode,2,2,both
HdmiControlService,setStandbyMode,2,2,both
HdmiControlService,setSystemAudioMode,3,3,both
HdmiControlService,setSystemAudioMute,2,2,both
HdmiControlService,setSystemAudioVolume,4,4,both
HdmiControlService,startOneTouchRecord,3,3,both
HdmiControlService,startTimerRecording,4,4,both
HdmiControlService,stopOneTouchRecord,2,2,both
StorageStatsService$Lifecycle,getCacheBytes,3,3,both
StorageStatsService$Lifecycle,getCacheQuotaBytes,4,4,both
StorageStatsService$Lifecycle,getFreeBytes,3,3,both
StorageStatsService$Lifecycle,getTotalBytes,3,3,both
StorageStatsService$Lifecycle,isQuotaSupported,3,3,both
StorageStatsService$Lifecycle,isReservedSupported,3,3,both
StorageStatsService$Lifecycle,queryExternalStatsForUser,4,4,both
StorageStatsService$Lifecycle,queryStatsForPackage,5,5,both
StorageStatsService$Lifecycle,queryStatsForUid,4,4,both
StorageStatsService$Lifecycle,queryStatsForUser,4,4,both
RulesManagerService$Lifecycle,getRulesState,1,1,both
RulesManagerService$Lifecycle,requestInstall,4,4,both
RulesManagerService$Lifecycle,requestNothing,3,3,both
RulesManagerService$Lifecycle,requestUninstall,3,3,both
WifiAwareService,connect,6,6,both
WifiAwareService,disconnect,3,3,both
WifiAwareService,getCharacteristics,1,1,both
WifiAwareService,isUsageEnabled,1,1,both
WifiAwareService,publish,5,5,both
WifiAwareService,requestMacAddresses,4,4,both
WifiAwareService,sendMessage,7,7,both
WifiAwareService,subscribe,5,5,both
WifiAwareService,terminateSession,3,3,both
WifiAwareService,updatePublish,4,4,both
WifiAwareService,updateSubscribe,4,4,both
OtaDexoptService,cleanup,1,1,both
OtaDexoptService,dexoptNextPackage,1,1,both
OtaDexoptService,getProgress,1,1,both
OtaDexoptService,isDone,1,1,both
OtaDexoptService,nextDexoptCommand,1,1,both
OtaDexoptService,prepare,1,1,both
SliceManagerService$Lifecycle,applyRestore,3,3,both
SliceManagerService$Lifecycle,checkSlicePermission,6,6,both
SliceManagerService$Lifecycle,getBackupPayload,2,2,both
SliceManagerService$Lifecycle,getPinnedSlices,2,2,both
SliceManagerService$Lifecycle,getPinnedSpecs,3,3,both
SliceManagerService$Lifecycle,grantPermissionFromUser,5,5,both
SliceManagerService$Lifecycle,grantSlicePermission,4,4,both
SliceManagerService$Lifecycle,hasSliceAccess,2,2,both
SliceManagerService$Lifecycle,pinSlice,5,5,both
SliceManagerService$Lifecycle,revokeSlicePermission,4,4,both
SliceManagerService$Lifecycle,unpinSlice,4,4,both
RestrictionsManagerService,createLocalApprovalIntent,1,1,both
RestrictionsManagerService,getApplicationRestrictions,2,2,both
RestrictionsManagerService,hasRestrictionsProvider,1,1,both
WifiService,acquireMulticastLock,3,3,both
WifiService,acquireWifiLock,5,5,both
WifiService,addOrUpdateNetwork,3,3,both
WifiService,addOrUpdatePasspointConfiguration,3,3,both
WifiService,deauthenticateNetwork,3,3,both
WifiService,disableEphemeralNetwork,3,3,both
WifiService,disableNetwork,3,3,both
WifiService,disconnect,2,2,both
WifiService,enableNetwork,4,4,both
WifiService,enableTdls,3,3,both
WifiService,enableTdlsWithMacAddress,3,3,both
WifiService,enableVerboseLogging,2,2,both
WifiService,enableWifiConnectivityManager,2,2,both
WifiService,factoryReset,2,2,both
WifiService,getAllMatchingWifiConfigs,2,2,both
WifiService,getConfiguredNetworks,1,1,both
WifiService,getConnectionInfo,2,2,both
WifiService,getCountryCode,1,1,both
WifiService,getCurrentNetwork,1,1,both
WifiService,getCurrentNetworkWpsNfcConfigurationToken,1,1,both
WifiService,getDhcpInfo,1,1,both
WifiService,getMatchingOsuProviders,2,2,both
WifiService,getMatchingWifiConfig,2,2,both
WifiService,getPasspointConfigurations,1,1,both
WifiService,getPrivilegedConfiguredNetworks,1,1,both
WifiService,getScanResults,2,2,both
WifiService,getSupportedFeatures,1,1,both
WifiService,getVerboseLoggingLevel,1,1,both
WifiService,getWifiApConfiguration,1,1,both
WifiService,getWifiApEnabledState,1,1,both
WifiService,getWifiEnabledState,1,1,both
WifiService,getWifiServiceMessenger,2,2,both
WifiService,isDualBandSupported,1,1,both
WifiService,isMulticastEnabled,1,1,both
WifiService,isScanAlwaysAvailable,1,1,both
WifiService,matchProviderWithCurrentNetwork,2,2,both
WifiService,needs5GHzToAnyApBandConversion,1,1,both
WifiService,notifyUserOfApBandConversion,2,2,both
WifiService,queryPasspointIcon,3,3,both
WifiService,reassociate,2,2,both
WifiService,reconnect,2,2,both
WifiService,registerSoftApCallback,4,4,both
WifiService,releaseMulticastLock,1,1,both
WifiService,releaseWifiLock,2,2,both
WifiService,removeNetwork,3,3,both
WifiService,removePasspointConfiguration,3,3,both
WifiService,reportActivityInfo,1,1,both
WifiService,requestActivityInfo,2,2,both
WifiService,restoreBackupData,2,2,both
WifiService,restoreSupplicantBackupData,3,3,both
WifiService,retrieveBackupData,1,1,both
WifiService,setCountryCode,2,2,both
WifiService,setWifiApConfiguration,3,3,both
WifiService,setWifiEnabled,3,3,both
WifiService,startLocalOnlyHotspot,4,4,both
WifiService,startScan,2,2,both
WifiService,startSoftAp,2,2,both
WifiService,startSubscriptionProvisioning,3,3,both
WifiService,startWatchLocalOnlyHotspot,3,3,both
WifiService,stopLocalOnlyHotspot,1,1,both
WifiService,stopSoftAp,1,1,both
WifiService,stopWatchLocalOnlyHotspot,1,1,both
WifiService,unregisterSoftApCallback,2,2,both
WifiService,updateInterfaceIpState,3,3,both
WifiService,updateWifiLockWorkSource,3,3,both
ShortcutService$Lifecycle,addDynamicShortcuts,4,4,both
ShortcutService$Lifecycle,applyRestore,3,3,both
ShortcutService$Lifecycle,createShortcutResultIntent,4,4,both
ShortcutService$Lifecycle,disableShortcuts,6,6,both
ShortcutService$Lifecycle,enableShortcuts,4,4,both
ShortcutService$Lifecycle,getBackupPayload,2,2,both
ShortcutService$Lifecycle,getDynamicShortcuts,3,3,both
ShortcutService$Lifecycle,getIconMaxDimensions,3,3,both
ShortcutService$Lifecycle,getManifestShortcuts,3,3,both
ShortcutService$Lifecycle,getMaxShortcutCountPerActivity,3,3,both
ShortcutService$Lifecycle,getPinnedShortcuts,3,3,both
ShortcutService$Lifecycle,getRateLimitResetTime,3,3,both
ShortcutService$Lifecycle,getRemainingCallCount,3,3,both
ShortcutService$Lifecycle,isRequestPinItemSupported,3,3,both
ShortcutService$Lifecycle,onApplicationActive,3,3,both
ShortcutService$Lifecycle,removeAllDynamicShortcuts,3,3,both
ShortcutService$Lifecycle,removeDynamicShortcuts,4,4,both
ShortcutService$Lifecycle,reportShortcutUsed,4,4,both
ShortcutService$Lifecycle,requestPinShortcut,5,5,both
ShortcutService$Lifecycle,resetThrottling,1,1,both
ShortcutService$Lifecycle,setDynamicShortcuts,4,4,both
ShortcutService$Lifecycle,updateShortcuts,4,4,both
BluetoothService,bindBluetoothProfileService,3,3,both
BluetoothService,disable,3,3,both
BluetoothService,enable,2,2,both
BluetoothService,enableNoAutoConnect,2,2,both
BluetoothService,getAddress,1,1,both
BluetoothService,getBluetoothGatt,1,1,both
BluetoothService,getName,1,1,both
BluetoothService,getState,1,1,both
BluetoothService,isBleAppPresent,1,1,both
BluetoothService,isBleScanAlwaysAvailable,1,1,both
BluetoothService,isEnabled,1,1,both
BluetoothService,registerAdapter,2,2,both
BluetoothService,registerStateChangeCallback,2,2,both
BluetoothService,unbindBluetoothProfileService,3,3,both
BluetoothService,unregisterAdapter,2,2,both
BluetoothService,unregisterStateChangeCallback,2,2,both
BluetoothService,updateBleAppCount,4,4,both
FingerprintService,addClientActiveCallback,2,2,both
FingerprintService,addLockoutResetCallback,2,2,both
FingerprintService,authenticate,9,9,both
FingerprintService,cancelAuthentication,3,3,both
FingerprintService,cancelEnrollment,2,2,both
FingerprintService,enroll,7,7,both
FingerprintService,enumerate,4,4,both
FingerprintService,getAuthenticatorId,2,2,both
FingerprintService,getEnrolledFingerprints,3,3,both
FingerprintService,hasEnrolledFingerprints,3,3,both
FingerprintService,isClientActive,1,1,both
FingerprintService,isHardwareDetected,3,3,both
FingerprintService,postEnroll,2,2,both
FingerprintService,preEnroll,2,2,both
FingerprintService,remove,6,6,both
FingerprintService,removeClientActiveCallback,2,2,both
FingerprintService,rename,4,4,both
FingerprintService,resetTimeout,2,2,both
FingerprintService,setActiveUser,2,2,both
OverlayManagerService,getAllOverlays,2,2,both
OverlayManagerService,getOverlayInfo,3,3,both
OverlayManagerService,getOverlayInfosForTarget,3,3,both
OverlayManagerService,setEnabled,4,4,both
OverlayManagerService,setEnabledExclusive,4,4,both
OverlayManagerService,setEnabledExclusiveInCategory,3,3,both
OverlayManagerService,setHighestPriority,3,3,both
OverlayManagerService,setLowestPriority,3,3,both
OverlayManagerService,setPriority,4,4,both
TvInputManagerService,acquireTvInputHardware,5,5,both
TvInputManagerService,addBlockedRating,3,3,both
TvInputManagerService,captureFrame,5,5,both
TvInputManagerService,createOverlayView,5,5,both
TvInputManagerService,createSession,6,6,both
TvInputManagerService,dispatchSurfaceChanged,6,6,both
TvInputManagerService,getAvailableTvStreamConfigList,3,3,both
TvInputManagerService,getBlockedRatings,2,2,both
TvInputManagerService,getDvbDeviceList,1,1,both
TvInputManagerService,getHardwareList,1,1,both
TvInputManagerService,getTvContentRatingSystemList,2,2,both
TvInputManagerService,getTvInputInfo,3,3,both
TvInputManagerService,getTvInputList,2,2,both
TvInputManagerService,getTvInputState,3,3,both
TvInputManagerService,isParentalControlsEnabled,2,2,both
TvInputManagerService,isRatingBlocked,3,3,both
TvInputManagerService,isSingleSessionActive,2,2,both
TvInputManagerService,openDvbDevice,3,3,both
TvInputManagerService,registerCallback,3,3,both
TvInputManagerService,relayoutOverlayView,4,4,both
TvInputManagerService,releaseSession,3,3,both
TvInputManagerService,releaseTvInputHardware,4,4,both
TvInputManagerService,removeBlockedRating,3,3,both
TvInputManagerService,removeOverlayView,3,3,both
TvInputManagerService,requestChannelBrowsable,3,3,both
